Bedriftsnavn,Adresse,Postnummer,Poststed,Godkjenningstyper,Organisasjonsnummer,Godkjenningsnummer
WERNER NERAAS BIL- OG MASKINSERVICE,Tosenveien 521,8960,VELFJORD,HJUL,911790238,31633
Ølve Bilsenter AS,Ølvesvegen 690,5637,ØLVE,"BILVERKSTED01B, KONTROLLORGAN01B",926534106,6752
NORSK TUNGBILSERVICE AS,Mosseveien 60,1640,RÅDE,"BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN02, KONTROLLORGAN03, SKADEVERKSTED01",927997770,31970
MITT DEKKHOTELL ASKER AS,VAKÅSVEIEN 5,1395,HVALSTAD,HJUL,921766947,31277
Motor Service,Kveldeveien,3282,KVELDE,MOTORSYKKELOGMOPED,974490013,4626
DEKKLAGERET MOSJØEN AS avd. Sandnessjøen,Foged Falchsvei 51,8803,SANDNESSJØEN,HJUL,996662950,29788
KJELLER VEST AUTO AS,KJELLER VEST 1,2007,KJELLER,"BILVERKSTED01, KONTROLLORGAN01",920669441,30791
"FERDA NORGE AS, avdeling Mo i Rana",Bedriftsgata 4,8610,MO I RANA,HENGERESPALOPSBREMSEANLEGG,919639466,31771
Strømmen Bilverksted AS,Skjærvaveien 6b,1466,STRØMMEN,"BILVERKSTED01, KONTROLLORGAN01",914144949,27681
Norstrand Bil AS,Sjøvollan 1,9040,NORDKJOSBOTN,"BILVERKSTED01, KONTROLLORGAN01",917328358,9589
Cary Bilglass avd Tiller,Ivar Lykkes vei 7,7075,TILLER,BILGLASS,913387783,29140
JOHN EDVIN BERG AS,Gaupemyrheia 37,4790,LILLESAND,HJUL,926541420,32032
BJARNE SCHEI AS,SKEIVEGEN 8,6650,SURNADAL,HJUL,980779017,29595
SVELGEN MOTORSENTER AS,GUNNAR G SCHJELDERUPS VEG 111,6723,SVELGEN,"BILVERKSTED01, KONTROLLORGAN01",955454243,7138
Elite Bil AS,Storgata 79,2830,RAUFOSS,"BILVERKSTED01, KONTROLLORGAN01",991977031,20799
LEVANGER AUTO AS,Ravnsgate 6B,7600,LEVANGER,"BILVERKSTED01, KONTROLLORGAN01",919837098,30656
Trucknor Rogaland AS,Mølleveien 4,4353,KLEPP STASJON,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01, KONTROLLORGAN02, KONTROLLORGAN03, PABYGGER, SKADEVERKSTED02",981925157,6092
Biltunet Verksted AS,Nygårdsveien 30,1423,SKI,"BILVERKSTED01, KONTROLLORGAN01",988640484,809
CARGLASS AS avd Askim,Haugomgt 2-4,1811,ASKIM,BILGLASS,985758220,29583
JÆREN TRAKTORSENTER AS,Rognevegen 2,4351,KLEPPE,"KONTROLLORGAN05, TRAKTOR",935465389,32105
Bilverkstedet AS,Industriveien 3a,1424,SKI,"BILVERKSTED01B, KONTROLLORGAN01B",987047062,712
VINOR BIL II AS Avd Nord,Moavegen 31,2619,LILLEHAMMER,"BILVERKSTED01, KONTROLLORGAN01",985978743,32068
"Ferda Norge AS, avdeling Bjerkvik",Nordmoveien 165,8530,BJERKVIK,HENGERESPALOPSBREMSEANLEGG,919639466,31083
"Ferda Norge AS, Avdeling Ålesund",Håhjem Industriområde 1,6260,SKODJE,"BILVERKSTED01B, KONTROLLORGAN01B",919639466,7301
CARGLASS AS,Smalvollveien 58,667,OSLO,BILGLASS,985758220,29524
Volmax AS avd Kongsvinger,Mårvegen 25,2211,KONGSVINGER,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04",984674104,2426
LAKKPROFFEN AS,RUNNIVEGEN 25,2150,ÅRNES,"BILGLASS, HJUL, LYSUTSTYR, SKADEVERKSTED01",988924512,29805
HAGA AUTOSALG  as,Nedre Nøttveit 64,5238,RÅDAL,BILVERKSTED01B,966494638,6687
ORIAB AS,Boganesveien  114,4032,STAVANGER,"HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR, MOTORSYKKELOGMOPED, PABYGGER",927971992,31512
Møller Bil Jessheim,Energiveien 2,2069,JESSHEIM,"BILVERKSTED01B, KONTROLLORGAN01B",964995923,15899
HEMNES GLASS as,Langstranda 5,1970,HEMNES,BILGLASS,917429618,29531
AGDER TRAKTOR OG MASKIN AS,Setesdalsvegen 880,4720,HÆGELAND,TRAKTOR,988591408,31853
AASEN BIL OG LANDBRUK AS,GVAMMEN,3630,RØDBERG,"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED, SKADEVERKSTED01, TRAKTOR",864346812,3959
FRANCIS LASTEBILSERVICE AS,Brobekkveien 100,582,OSLO,"BILVERKSTED02, BILVERKSTED03",924926678,31533
Motorpool Handel AS,Bergerveien 5,1396,BILLINGSTAD,"BILVERKSTED01, KONTROLLORGAN01",947249967,925
Frydenbø Bilsenter AS avd. Sogndal,Avsølevegen 7,6857,SOGNDAL,"BILVERKSTED01, KONTROLLORGAN01",967149098,14338
Bilia Norge AS avd Follo,Norbyveien 98,1406,SKI,"BILVERKSTED01, KONTROLLORGAN01",976023188,721
O.L. Engen  AS,Fløtlivegen 223,2390,MOELV,PABYGGER,991982132,13558
Larsnes Last og Buss AS,Rønnebergplassen 21,6084,Larsnes,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, MOTORSYKKELOGMOPED, PABYGGER, TRAKTOR",980766632,7540
LØKKEMYRA BILPLEIE AS,Rørgata 11,6517,KRISTIANSUND N,BILVERKSTED01,924943254,32431
AUTO BILVERKSTED DEKK & GLASS Ahmet Yasar,Teglverksveien 99,3057,SOLBERGELVA,"BILVERKSTED01, KONTROLLORGAN01",996667022,18441
ELVERUM CARAVANSENTER AS,SVARTBEKKVEGEN 5,2406,ELVERUM,"BILVERKSTED01B, HENGERESPALOPSBREMSEANLEGG, KONTROLLORGAN01B",979943911,30244
BERNTSEN KAROSSERI,Mjåvannsvegen 50,4628,KRISTIANSAND S,SKADEVERKSTED02,921680732,31575
BOSS OF GLOSS BILPLEIE AS,KLØVNINGSTEN 3B,1739,BORGENHAUGEN,HJUL,919938536,30737
ERNSTSEN MC & SNØSCOTER AS,Lagerveien 7,8250,Rognan,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",911711311,9127
Tores Auto Loddefjord AS,Lyderhornsveien 291,5171,Loddefjord,"BILVERKSTED01, KONTROLLORGAN01",977389909,6674
"Vianor AS, avd. Kristiansand",Stemmane 4,4636,KRISTIANSAND S,"BILVERKSTED01, HJUL, KONTROLLORGAN01",935429447,5350
BILSERVICE LILLESTRØM AS,STORGATA 57,2003,LILLESTRØM,"BILVERKSTED01, KONTROLLORGAN01",916881436,29881
A-DEKK AS,Haukerødkrysset Sfj.,3216,SANDEFJORD,HJUL,983559123,29876
T Sylte Bil AS,Industrivegen 47,6652,SURNA,"BILVERKSTED01B, KONTROLLORGAN01B",993624764,13839
TESLA NORWAY AS AVD MOLDE,Fannestrandvegen 70-72,6416,MOLDE,BILVERKSTED01,924277068,31522
TEVO DEKK AS,MUSEMSVEGEN 113,7656,VERDAL,HJUL,985849323,29425
VIP AUTOCARE AS,industrivein 11,1424,,BILVERKSTED01,925059609,32026
Automote bil og deler Kai Løberg,Hystadv. 188,3209,SANDEFJORD,BILVERKSTED01,962367038,4719
Wist Last og Buss AS,Fannestrandvegen 71,6416,Molde,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, HJULUTRUSTNING, KONTROLLORGAN04, PABYGGER, SKADEVERKSTED01, TRAKTOR",958315120,7698
Boreal Buss AS avd. verksted Lakselv,Klemetstadveien 1,9700,LAKSELV,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR",979437218,9632
Tores Auto Fyllingen A/S,Vardeveien 2,5141,Fyllingsdalen,"BILVERKSTED01, KONTROLLORGAN01",979361432,6729
RUNARS VERKSTED AS,Dolmsundveien 4,7250,MELANDSJØ,"BILVERKSTED01, KONTROLLORGAN01",924916567,31511
Bilia Norge AS avd. Skadesenter Drammen,Gilhusveien 13,3414,LIERSTRANDA,SKADEVERKSTED02,976023188,13599
DEKKBUTIKKEN TASTA  AS,RANDABERGVEIEN 255,4027,STAVANGER,HJUL,990337934,30563
Tynset Diesel AS,Glåmveien 2,2500,Tynset,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, PABYGGER, SKADEVERKSTED02",982787580,2316
Lunner Auto AS,Hadelandsvegen 2397,2730,LUNNER,"BILVERKSTED01, KONTROLLORGAN01",912158357,25581
DEKKTEAM AS - Avd KLØFTA,DYRSKUEVEGEN 36-40,2040,KLØFTA,HJUL,870897332,31579
Team Verksted AS Follo,Snipetjernveien 1,1405,LANGHUS,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, SKADEVERKSTED01",946930342,30284
FANNREM Auto AS,Plogvegen 5,7320,FANNREM,SKADEVERKSTED02,914630940,28429
Nordic Last og Buss AS avd. Finnfjord,Ferroveien 10,9308,FINNSNES,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, SKADEVERKSTED02, TRAKTOR",979463332,25180
R86 DEKKSENTER AS,SJØGATA 32,9300,FINNSNES,HJUL,987807946,29996
KRISTOFFER KOLSVIK,BANGSTADVEIEN 68,7980,TERRÅK,HJUL,913706706,30549
KROGEN BIL AS,Glopvegen 1,6050,VALDERØY,"BILVERKSTED01, HJUL, KONTROLLORGAN01",913814045,29335
Gjermundsen Auto AS avd. Skadesenter,SOLKILEN 6,3118,TØNSBERG,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",929617215,31434
JEKA MASKIN AS,DROGGETOPPEN 6,2150,ÅRNES,HENGERESPALOPSBREMSEANLEGG,945256699,31703
AUTOSERVICE A.S,Bedriftsvegen 13,6517,KRISTIANSUND N,"BILVERKSTED01, KONTROLLORGAN01",886377622,7820
SNIPPEN BILSERVICE AS,OVERHALLSVEIEN 5-7,7803,NAMSOS,"BILVERKSTED01, KONTROLLORGAN01",958330537,29275
W-Mek Kåre Jensen,Weensvangvegen 438,2338,ESPA,PABYGGER,994644696,20699
Bilskadeservice AS,Nye Teglverks vei 19,4632,KRISTIANSAND S,SKADEVERKSTED01,956606586,5616
DEKK OG FELG AS,KALLERUDSVINGEN 6,2816,GJØVIK,"HENGERESPALOPSBREMSEANLEGG, HJUL",968023675,28534
Wist Last og Buss AS,Øran Øst,6300,Åndalsnes,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, HJULUTRUSTNING, KONTROLLORGAN04, MOTORSYKKELOGMOPED, PABYGGER, SKADEVERKSTED01, TRAKTOR",958315120,7656
DEKKMANN AS avd Kristiansand,Skibåsen 42D,4696,KRISTIANSAND S,"BILVERKSTED01, HJUL, KONTROLLORGAN01",966242825,28272
JÆREN STORBIL SENTER AS,Varabergmyra 1,4051,SOLA,"BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, PABYGGER",986348670,29945
SR BILSENTER AS,CASPAR STORMS VEI 17,664,OSLO,"BILVERKSTED01, KONTROLLORGAN01",916688431,31671
BLJ Motorsenter AS,Frøystadveien 45,3269,LARVIK,"EKSOSANLEGG, HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR, MOTORSYKKELOGMOPED",911695057,24900
KLÆBU BIL & BENSIN EFTF AS,RYDLANDVEGEN 2,7540,KLÆBU,"BILVERKSTED01B, KONTROLLORGAN01B",930129674,28932
BenTro Bil AS,Rombaksveien 45,8517,NARVIK,"BILVERKSTED01, KONTROLLORGAN01",974496313,18219
INNHERRED BILSENTER AS,Kometvegen 2,7652,VERDAL,BILVERKSTED01B,927833395,32179
HASTADKLEV VERKSTED HOMMELVIK AS,ØYAVEGEN 23,7550,HOMMELVIK,"BILVERKSTED01, KONTROLLORGAN01",921865422,31115
THANSEN AS avd. 44 Kongsberg,Gomsrudveien 1,3601,KONGSBERG,HJUL,923897682,32059
Lakselv Motor AS,Karasjokveien,9711,Lakselv,"BILVERKSTED01B, KONTROLLORGAN01",976009738,9641
Rolands AS,Mjåvannsvegen 164,4628,HÆGELAND,PABYGGER,917647070,5694
"TOYOTA BILIA AS, AVD STJØRDAL",Tuftenvegen 2,7502,STJØRDAL,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",980648915,29386
BERTRAM AUTO KVIKK AS,Østre Aker Vei 243,976,OSLO,"BILVERKSTED01, KONTROLLORGAN01",980875652,31676
DK Bilskadesenter Vest AS avd. Åsane,Litleåsvegen 65,5132,NYBORG,SKADEVERKSTED02,993840866,6741
DB LAKK & GLASS AS,Industriveien 13,3300,HOKKSUND,BILGLASS,829826682,32381
BIL OG DEKKSERVICE AS,Manhellervegen 857,6854,KAUPANGER,"BILVERKSTED01, HJUL, LYSUTSTYR",960055187,7229
RUDI KNUT,LINA 105,2967,LOMEN,HJUL,870316402,31431
FLO/FVP/ Forsvarets verksted Romerike,Trandumvegen 80,2054,MOGREINA,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, MOTORSYKKELOGMOPED, PABYGGER, SKADEVERKSTED01, TRAKTOR",986105174,1042
HAMMER TILHENGERSENTER AS,Børsa,7353,BØRSA,"HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR, MOTORSYKKELOGMOPED, PABYGGER",974423596,28478
Sandnes Auto AS,Tunnelveien,9912,HESSENG,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",919859717,9755
AUTO KAROSSERI VEST AS,Janaflaten 49,5179,GODVIK,SKADEVERKSTED01,925947075,31950
Haugens Bilservice AS,Kåshagvegen 178,2385,BRUMUNDDAL,"BILVERKSTED01, KONTROLLORGAN01",976218698,2036
TOYOTA BILIA AS ORKANGER,Løypstrengen 14,7300,ORKANGER,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",980648915,8341
Tønsberg Vulk AS,Korniveien 4,3157,BARKÅKER,HJUL,874273422,4390
VIGELAND TRAFIKKSENTER AS,Livold,4520,LINDESNES,HJUL,976329783,31369
NOTLAND DEKK OLE JØRGEN BERGE,Notland,5440,MOSTERHAMN,HJUL,897585642,30957
BIL OG BO H. HARALDSEN,LIENVEGEN 90,3580,GEILO,"BILVERKSTED01, KONTROLLORGAN01",977176921,3557
AKTIV CARAVAN AS,Kokstadflaten 32,5257,KOKSTAD,"HENGERESPALOPSBREMSEANLEGG, SKADEVERKSTED01",957968589,32239
DEKKMESTEREN AS avd Holmlia,Rosenholmveien 13,1252,OSLO,HJUL,999325882,30772
SJØHOLT MASKIN AS,Kyrkjevegen 5,6240,ØRSKOG,"HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR, TRAKTOR",932652978,29274
BRUMUNDDAL AUTO-REP.,Strandveien 12 C,2380,Brumunddal,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED, SKADEVERKSTED01",971160586,2039
ICARAVAN ALTA AS,BETONGVEIEN 21,9515,ALTA,"BILVERKSTED01B, KONTROLLORGAN01B",920202829,31498
Mobile Ljosland AS,Sportsveien 2,3615,KONGSBERG,"BILVERKSTED01B, KONTROLLORGAN01B",978627188,30843
"Møller Bil Oslo Vest, avd. Audi",Lilleakerveien 20,283,OSLO,"BILVERKSTED01, KONTROLLORGAN01",928481638,1449
THOMLEVOLD AS,NORDSINNI 931,2870,DOKKA,"KONTROLLORGAN05, TRAKTOR",818707932,31604
FØRDE BILSALG AS,ØYRANE 1,6800,FØRDE,"BILVERKSTED01, KONTROLLORGAN01",912098923,28235
CARGLASS AS avd. Narvik,Verkstedbakken 17,8514,NARVIK,BILGLASS,985758220,29969
Bil & lakksenteret AS,Strandheim,7584,SELBUSTRAND,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED01",988648574,13396
BILGUMMILAGERET AS,BYGNES,4250,KOPERVIK,HJUL,993098647,29288
Hurtigruta Carglass Jessheim,Industriveien 1,2050,JESSHEIM,BILGLASS,985758220,29437
MR-BIL DA,Storveien 5,1816,SKIPTVET,"BILVERKSTED01, KONTROLLORGAN01",994917498,15658
Felleskjøpet Agri SA avd. Volda,Morkamyra 21,6105,VOLDA,"KONTROLLORGAN05, TRAKTOR",911608103,19279
ÅSANE STORSENTER BILPLEIE AS,Bygg A,5116,ULSET,HJUL,927136104,32143
VALDRES DEKK AS,Faslevegen 20,2920,LEIRA I VALDRES,HJUL,929227050,32192
MAN Truck & Bus Norge A/S Avd. Stavanger,Røynebergsletta 31,4052,RØYNEBERG,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, PABYGGER, SKADEVERKSTED01",824387842,5916
KHAZI WEB BIL OG DEKK,Kroerveien 115,1435,ÅS,HJUL,930180289,32343
CARGLASS AS,Lysaker Torg 25,1326,LYSAKER,BILGLASS,985758220,29652
Team Verksted AS avd. Tr.heim,Kvenildsskogen 10,7093,TILLER,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, PABYGGER, SKADEVERKSTED02",946930342,8032
AASE LANDBRUK AS,KVÅLVEIEN 6,4323,SANDNES,TRAKTOR,959980454,29271
Fron Bilverksted AS,Fryavegen 145,2647,SØR-FRON,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, SKADEVERKSTED02",990262748,26981
Etterstad Bilverksted AS,Professor Birkelands vei 36,1081,OSLO,"BILVERKSTED01, KONTROLLORGAN01",993426075,13457
Bil og Hydraulikk AS,Øyane 2,6770,NORDFJORDEID,"BILVERKSTED01B, KONTROLLORGAN01B, PABYGGER",996526844,18840
Kilens Bil & Karosseri.,Flisa,2270,Flisa,SKADEVERKSTED01,963916116,2515
Sunnhordland Bil  AS,Vabakkjen 8,5411,STORD,"BILVERKSTED01B, KONTROLLORGAN01B",981136098,6767
BUSLAND AS,Karlsrudveien 9,1900,FETSUND,ALKOLASVERKSTED,921451261,31836
RASMUSSEN DEKKSENTER AS,Rosslandvegen 388,5919,FREKHAUG,"BILVERKSTED01B, KONTROLLORGAN01B",917200904,31518
ANDRESEN BIL AS RAMSTADLØKKA,Ramstadløkka 4,1850,MYSEN,"ALKOLASVERKSTED, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04",911749963,30755
Autoskade Elverum AS,Svartbekkvegen 66,2406,ELVERUM,SKADEVERKSTED02,982735866,2255
Paulsen Motor AS,Kaivegen 12,6770,NORDFJORDEID,MOTORSYKKELOGMOPED,994387502,16299
AUTO MOSS AS,STENGATA 22,1531,MOSS,"BILVERKSTED01, KONTROLLORGAN01",921177364,31006
Vianor AS avd. Drammen,Lierstranda 56,3400,LIER,"BILVERKSTED01, HJUL, KONTROLLORGAN01",935429447,20680
ØVERBY BIL,Sigdalsveien 2656,3350,PRESTFOSS,BILVERKSTED01,821901332,31079
AUTOKOMPLEX DANIEL NOWAK,RYES GATE 28,3263,LARVIK,BILVERKSTED01,919580038,30538
"DEKKTEAM AS, avd. Jessheim",Industriveien 19,2069,JESSHEIM,HJUL,870897332,28935
Snap Drive  AS avd. Ryen,Ryensvingen 2-4,680,OSLO,"BILVERKSTED01, KONTROLLORGAN01",971585188,1561
TH BIL AS,FOLDVIKVEIEN 96,3294,STAVERN,"BILVERKSTED01, SKADEVERKSTED01",913964365,29287
Norsk Scania AS Ålesund,Bythaugen,6260,SKODJE,"ALKOLASVERKSTED, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03",879263662,7314
SAGEN SERVICE AS,Tollbugata 3,9800,VADSØ,HJUL,921220693,32151
Husnes Motor A/S,Onarheimslio 204,5460,HUSNES,"BILVERKSTED01B, KONTROLLORGAN01B",986386254,6762
Hadeland Bilsenter AS,Øvre Hagalia 2,2760,BRANDBU,"BILVERKSTED01, KONTROLLORGAN01",979483171,2991
MOBILE ELVERUM AS,SVARTBEKKVEGEN 75,2406,ELVERUM,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",819496072,30516
Mobile Autopartner AS,St.Hansveien 7,3614,KONGSBERG,"BILVERKSTED01, KONTROLLORGAN01",984103131,3963
RK TUNING AS,FJELLDALSVEIEN 369,9441,FJELLDAL,HJUL,918762604,30987
NELLEMANN MACHINERY AS,KJELLER VEST 6,2007,KJELLER,TRAKTOR,962165109,31670
GABRIEL ØSTRÅT AS,Bedriftsvn 11,4313,SANDNES,"BILVERKSTED01B, KONTROLLORGAN01, SKADEVERKSTED01",937817983,5918
Vegårshei Motorsenter A/S,Myra,4985,vegårshei,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",980849007,5385
DALE SERVICESENTER AS,DALE,6963,DALE I SUNNFJORD,"BILVERKSTED01, KONTROLLORGAN01",983509614,7034
N. Jacobsens Karosserifabrikk A/S,Kjennveien 157,1470,LØRENSKOG,PABYGGER,986078665,1119
DEKK OG FELG LILLESTRØM AS,Nordahl Bruns gate 5,2004,LILLESTRØM,HJUL,922886229,31543
A HILLING AS,Innhavet,8261,INNHAVET,HJUL,812676342,31159
"Møller Bil Innlandet AS, Møller Bil Hamar",Gjerluvegen 1A,2320,Furnes,"BILVERKSTED01B, KONTROLLORGAN01B",976951336,2009
Siggerudvn. Bilverksted A/S,Siggerudvn. 1302,1404,SIGGERUD,"BILVERKSTED01B, KONTROLLORGAN01B",933615162,705
Bavaria Norge AS avd. Gardermoen,Museumsvegen 16,2060,GARDERMOEN,"BILVERKSTED01, KONTROLLORGAN01",960804953,1232
Gjermundsen Auto AS -Tønsberg,Solkilen 3,3118,TØNSBERG,"BILVERKSTED01B, KONTROLLORGAN01B",929617215,4325
DEKK1 AS avd. Furuset,Strømsveien 320,1081,OSLO,"HENGERESPALOPSBREMSEANLEGG, HJUL",979579292,30058
Baastad Bil Hans Joar Baastad,Stiklaveien 3,1866,Båstad,"BILVERKSTED01, KONTROLLORGAN01",976894820,214
Stjørdal Dekk og Transportutstyr AS,SUTTERØYGATA 14,7502,STJØRDAL,HJUL,985541329,29418
Intakt Bilskade Stjørdal AS,Sutterøygata 1,7502,STJØRDAL,SKADEVERKSTED02,912752232,26001
DEKKMANN AS AVD BÆRUM 5250,Olav Ingstads vei 1,1351,RUD,"BILVERKSTED01, HJUL, KONTROLLORGAN01",974292831,30134
Bilnett Bilverksted AS,Gamle riksvei 231,3055,KROKSTADELVA,"BILVERKSTED01B, KONTROLLORGAN01B",930089753,31993
DRAGE AUTO AS,NEDRE SJÅSTAD 5,6750,STADLANDET,"BILVERKSTED01B, KONTROLLORGAN01B",925838497,31741
ERIK ARNESEN LANGHUS,Håndverksveien 10,1405,LANGHUS,SKADEVERKSTED02,976547551,31975
Sannidal Bilverksted A/S,Sannidalsvn. 164,3766,SANNIDAL,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",915720234,4803
MC TUNING  AS,Østre Rosten 84F,7075,TRONDHEIM,MOTORSYKKELOGMOPED,992644079,8029
HANSENS BILVERKSTED AS,Radåsv.5,8800,Sandnessjøen,"BILVERKSTED01B, KONTROLLORGAN01B",980799530,8848
ZB DEKK OG BILVERKSTED AS,,7520,HEGRA,"BILVERKSTED01, KONTROLLORGAN01",919584238,30544
AUTOIN BILSKADE SENTER AS Billingstad,Billingstadsletta 24B,1396,BILLINGSTAD,SKADEVERKSTED01,946171700,31983
NORDSALTEN DEKK,HAUKÅS,8290,SKUTVIK,HJUL,972016845,29693
RØYKEN GLASS AS,SLEMMESTADVEIEN 14,3440,RØYKEN,BILGLASS,914830796,29484
Sven Kvia AS,Moseidsletta 114,4033,STAVANGER,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",845933162,5909
MOSS BILSENTER AS,Kvaenveien 3,1529,MOSS,BILVERKSTED01,918898832,31437
Helgerud Bilverksted,Nyveien 777,1963,FOSSER,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01, KONTROLLORGAN04, MOTORSYKKELOGMOPED, PABYGGER",970303588,1037
Etac Bil AS avd. Frogner,Lindebergvegen 3,2016,FROGNER,"BILVERKSTED01, PABYGGER",999065465,1133
CARGLASS AS avd. Kristiansund,Verkstedveien 13,6517,KRISTIANSUND N,BILGLASS,985758220,30017
THANSEN AS avd. Stord,Grønehaugen 6,5412,STORD,HJUL,923897682,31266
OSLO AUTOLAKK AS,ENEBAKKVEIEN 441B,1290,OSLO,SKADEVERKSTED02,913210662,30880
Hurtigruta Carglass AS avd. Alta,Markveien 42,9510,ALTA,BILGLASS,985758220,30299
HT BIL & BUSS AS,Rislandsveien 68,4820,FROLAND,"ALKOLASVERKSTED, BILVERKSTED01B, PABYGGER",912312208,31661
Auto Garantisten AS,Torsvang 16,3271,LARVIK,HJUL,916111312,31876
P. Andersen´s Bilverksted A/S,Brynsv. 132/134,1352,KOLSÅS,"BILVERKSTED01B, KONTROLLORGAN01B",965399194,985
CENTRAL AUTO AS,Semsveien 42,3302,HOKKSUND,"BILVERKSTED01, KONTROLLORGAN01",975918599,3948
Bil-Service Bruktbilsenter,Træleborgveien 3,3112,TØNSBERG,"BILVERKSTED01B, KONTROLLORGAN01B",975933601,10531
THANSEN AS avd Drammen,"CC Drammen, Tomtegata 36",3012,DRAMMEN,HJUL,923897682,31276
DEKK1 AS Asker Vulk,Nye Vaksåsvei 10,1395,HVALSTAD,HJUL,979579292,29871
BOTNMARK SERVICE,Sporveien 8 og Sjøveien 13,8519,NARVIK,"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED, SKADEVERKSTED02",951320374,30884
Sulland Tromsø AS avd. Bardufoss,Industriveien 11,9325,Bardufoss,"BILVERKSTED01B, KONTROLLORGAN01",860152002,9802
LÆRUM AUTO AS,Lærumveien 51,3074,SANDE I VESTFOLD,BILVERKSTED01,928831167,32180
TØRSET BIL AS,Langslågata 1,6600,Sunndalsøra,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED, SKADEVERKSTED01",976875214,7822
UTSTYRSPARTNER AS,URA 1,4056,TANANGER,"HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR",918481885,30431
TOPP AUTOSERVICE AS,Strandgata 16,2815,GJØVIK,"BILVERKSTED01, KONTROLLORGAN01",987152729,32315
Auto-Fixit Røisgård,Kirkeveien 278,3140,NØTTERØY,SKADEVERKSTED01,998090105,22720
RYGGE VAREBILINNREDNING AS,IDRETTSVEIEN 5,1640,RÅDE,"ALKOLASVERKSTED, PABYGGER",920513379,29468
RENE MECHANICS AS,BRUSEVEIEN 16,1911,FLATEBY,"BILVERKSTED01, KONTROLLORGAN01",917932832,31721
STRYN MEK VERKSTED AS,Nordfjordvegen 783 LANGESET,6783,STRYN,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",920450806,30739
"Akershus Traktor AS, avd. Hønefoss",Verkstedveien 2,3516,HØNEFOSS,"KONTROLLORGAN05, TRAKTOR",947340204,30316
Norsk Scania AS avd.Bærum,Olav Ingstads vei 10,1351,RUD,"ALKOLASVERKSTED, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03",879263662,933
"Toyota Østfold & Follo AS, avd. Follo",Indistriveien 1a,1424,SKI,"BILVERKSTED01, KONTROLLORGAN01",983650791,770
